game_name,subjectivity,polarity
Pogostuck: Rage With Your Friends,0.51958042,0.568706294
Gothic 1 Classic,0.384722222,0.386805556
Vanguard Princess,0.423809524,0.555357143
Counter-Strike,0.406012751,0.451168758
HunieCam Studio,0.376666667,0.585
WRC 6,0.491989026,0.525670439
My Koi,0.621428571,0.429464286
Team Fortress Classic,0.734848485,0.545075758
Womb Room,0.44,0.63
Day of Defeat,0.4,0.4
HonkaiImpact 3rd,0.578921569,0.418872549
Cactus Simulator - Bofete Stories,0.9,0.25
Deathmatch Classic,0.563606463,0.543757926
Learn to Fly 3,0.512297643,0.53437761
Half-Life: Opposing Force,0.46547619,0.561607143
SuperTux,0.513350103,0.65019578
Ricochet,0.451554908,0.602380953
Into the Stars,0.53125,0.390625
Half-Life,0.497584416,0.579422078
Hentai Girl Fantasy,0.378611111,0.572361111
Huusuienbu - Chapter Spring and Summer ,0.37,0.46
Counter-Strike: Condition Zero,0.728571429,0.447123016
SAO Utils: Beta,0.242857143,0.514285715
Codename Gordon,0.356287879,0.477234849
Suguri,0.318121693,0.458862434
Hard Reset,0.7125,0.5125
Counter-Strike: Condition Zero Deleted Scenes,0.3325,0.565
Gedonia,0.465601852,0.521203704
Jets'n'Guns Gold,0.542424242,0.43219697
League of Maidens,0.390882814,0.513414903
Half-Life: Blue Shift,0.258333333,0.5375
Dungeons 2,0.608333333,0.683333334
MONOPOLY Poker,0.540277778,0.575694445
Gleaner Heights,0.551190476,0.761904762
Squad,0.568194551,0.532161956
Salt,0.344444444,0.472222222
12 Labours of Hercules II: The Cretan Bull,0.962962963,0.725
SKYBOX VR Video Player,0.4,0.3
ネジ込みシミュレーターVol1 -おかっぱ巨乳ちゃんを簡単マウス操作で極太ディルドーにずぽずぽさせる疑似オナホアプリ-【拡張・オナホ化・石化・時間停止】,0.470833333,0.470833334
12 Labours of Hercules III: Girl Power,0.426785714,0.598809524
Hurtworld,0.483333333,0.591666667
I Am Bread,0.507378126,0.557605287
Source SDK,0.591001516,0.567016646
Source SDK Base 2006,0.487733805,0.554118404
Source SDK Base 2007,0.592824074,0.538310185
Half-Life 2,0.525,0.553125
Counter-Strike: Source,0.500533769,0.568148148
Code Romantic,0.401234568,0.582175926
Golden Light,0.95,0.8
Accident,0.45225,0.468375
Arma: Cold War Assault,0.534919841,0.47793383
Synth Riders,0.556593407,0.548008242
Dungeon Defenders,0.625,0.716666667
World of Guns: Gun Disassembly,0.455639098,0.578712406
美少女万华镜 -理与迷宫的少女-,0.775,0.825
Half-Life: Source,0.574465812,0.409561966
My Friend Pedro,1,0.75
Downwell,0.9,0.75
Fairy Fencer F Advent Dark Force,0.61875,0.696875
NecroWorm,0.483333333,0.683333334
Day of Defeat: Source,0.468148148,0.599814815
Iconoclasts,0.666666667,0.75
Games and Girls,0.588392857,0.508482143
PLAY'A VR Video Player,0.734090909,0.662752526
PGA TOUR 2K21,0.288888889,0.611111111
Insanity Clicker,0.508190602,0.542043592
Half-Life 2: Deathmatch,0.333333333,0.625
原灵·深海遗梦 Medusa the Origin ~ Lost Dream of the Deep,0.7,0.675
Alien Shooter,0.692261905,0.541964286
Wintermoor Tactics Club,0.389814815,0.513888889
Masquerada: Songs and Shadows,0.43,0.547291667
Stranded,0.455,0.5975
Half-Life 2: Lost Coast,0.352777778,0.509722222
Alien Shooter: Revisited,0.395833333,0.65625
Midas Gold Plus,0.333333333,0.625
Manga maker ComiPo!,0.46,0.6875
Greak: Memories of Azur,0.320833333,0.5375
Alien Shooter 2: Reloaded,0.472916667,0.619791667
Half-Life Deathmatch: Source,0.372231716,0.589428116
ABYSS OF THE SACRIFICE,0.4625,0.5921875
This Strange Realm Of Mine,0.507142857,0.403571429
RutonyChat,0.542927171,0.589995543
Roots of Pacha,0.5,0.75
Half-Life 2: Episode One,0.551688312,0.556118326
Yooka-Laylee,0.550925926,0.638888889
I am an Air Traffic Controller 4 Demo,0.518132215,0.512220419
Lumini,0.7,0.9
The Bureau: XCOM Declassified,0.5914397,0.605837491
Portal,0.508333333,0.50625
Seek Girl Ⅳ,0.6,0.6
Capcom Beat 'Em Up Bundle,0.470239234,0.553588517
Half-Life 2: Episode Two,0.470239234,0.553588517
Project 5: Sightseer,0.402568922,0.573245614
VICCP,0.371717172,0.587121212
Fly Simulator,0.470239234,0.553588517
Orwell,0.521064815,0.436111111
ELDEN RING,0.05,0.525
Team Fortress 2,0.6,0.45
Sid Meier's Civilization: Beyond Earth,0.418518519,0.554629629
Assassin's Creed II,0.2,0.55
Halo Wars: Definitive Edition,0.37,0.56
Momentum Mod Playtest,0.470239234,0.553588517
Spacewar,0.488305322,0.537254902
Sixtar Gate: STARTRAIL,0.405555556,0.610416667
BAJA: Edge of Control HD,0.37,0.56
Left 4 Dead,0.470239234,0.553588517
Don't Be Afraid - The First Toy,0.632142857,0.513571429
Little Racers STREET,0.37,0.56
Left 4 Dead 2,0.666666667,0.388888889
Into the Breach,0.534623016,0.503199405
Left 4 Dead 2 Authoring Tools,0.37,0.56
Dota 2,0.473765432,0.488580247
Perspectives: Paradise,0.470239234,0.553588517
Portal 2,0.37,0.56
Portal 2 Authoring Tools,0.56297619,0.578214286
Alien Swarm,0.470239234,0.553588517
文字遊戲：第零章,0.46040404,0.609760101
Portal 2 Publishing Tool,0.470239234,0.553588517
Bright Memory Infinite Ray Tracing Benchmark,0.434222222,0.453656566
The Bookwalker Demo,0.470239234,0.553588517
Not For Broadcast,0.496686508,0.541875
Driver San Francisco,0.5625,0.523958334
Skul: The Hero Slayer,0.470239234,0.553588517
Crimsonland,0.6,0.6
Narcissu 10th Anniversary Anthology Project,0.470239234,0.553588517
Counter-Strike: Global Offensive,0.470239234,0.553588517
Sparkle 3 Genesis,0.519021164,0.534880953
Counter-Strike: Global Offensive - SDK,0.364880952,0.60327381
Cat's Kiss,0.593571429,0.569285715
The Disney Afternoon Collection,0.470239234,0.553588517
Steam,0.470239234,0.553588517
Tropico,0.470239234,0.553588517
Ironlights,0.363068182,0.492897728
Has-Been Heroes,0.470239234,0.553588517
Jigsaw Novel - The Job Promotion,0.560294118,0.560947713
PARTICLE MACE,0.470239234,0.553588517
ArcheAge: Unchained,0.470239234,0.553588517
Command & Conquer™ Remastered Collection,0.775,0.496875
Grow Up,0.37,0.56
NGU IDLE,0.470239234,0.553588517
War for the Overworld,0.562698413,0.512202381
Answer Knot,0.470239234,0.553588517
I Wanna Maker,0.116666667,0.458333334
Superliminal,0.332638889,0.565972222
Mother Russia Bleeds,0.470239234,0.553588517
Divinity: Original Sin (Classic),0.621428571,0.663392857
Underworld Idle,0.470239234,0.553588517
STARWHAL,0.470239234,0.553588517
The Construct,0.535507246,0.586775363
Eversion ,0.37,0.56
Universe Sandbox,0.9,0.8
Haven,0.6,0.85
Will You Snail?,0.288461538,0.625
ARCADE GAME SERIES: PAC-MAN,0.5,0.75
2076 Midway Multiverse,0.84375,0.421875
FINAL FANTASY® XI: Ultimate Collection Seekers Edition NA,0.4875,0.6375
Interrogation: You will be deceived,0.43287037,0.595370371
ASTRONEER,0.575,0.522222222
West of Dead,0.388888889,0.526041667
UnderMine,0.05,0.525
Chernobylite,0.727272727,0.409090909
Renegade Ops,0.471666667,0.645
Olympia Rising,0.066666667,0.516666667
Bonfire Peaks,0.37,0.56
