game_name,scaled_rating
Pogostuck: Rage With Your Friends,0.745425617
Gothic 1 Classic,0.850158696
Vanguard Princess,0.684159452
Counter-Strike,0.970681437
HunieCam Studio,0.812332074
WRC 6,0.523657629
Team Fortress Classic,0.820112164
Womb Room,0.258947368
Day of Defeat,0.882832409
Deathmatch Classic,0.805331511
Learn to Fly 3,0.861634918
Half-Life: Opposing Force,0.941609169
Ricochet,0.776873911
Into the Stars,0.367056951
Half-Life,0.957196752
Huusuienbu - Chapter Spring and Summer ,0.719298246
Counter-Strike: Condition Zero,0.880837871
SAO Utils: Beta,0.751234374
Suguri,0.851851852
Hard Reset,0.810213501
Jets'n'Guns Gold,0.867183883
Half-Life: Blue Shift,0.888830988
Dungeons 2,0.769282213
Gleaner Heights,0.670715249
Squad,0.771691727
Salt,0.757462271
12 Labours of Hercules II: The Cretan Bull,0.885153581
SKYBOX VR Video Player,0.820008035
12 Labours of Hercules III: Girl Power,0.852790499
Hurtworld,0.712433548
I Am Bread,0.749491555
Half-Life 2,0.961376116
Counter-Strike: Source,0.951003206
Arma: Cold War Assault,0.744335458
Synth Riders,0.982177666
Dungeon Defenders,0.909982268
World of Guns: Gun Disassembly,0.808394707
Half-Life: Source,0.754706268
Downwell,0.963905448
Fairy Fencer F Advent Dark Force,0.81990984
NecroWorm,0.946532999
Day of Defeat: Source,0.883870717
Iconoclasts,0.879668331
Insanity Clicker,0.621191343
Half-Life 2: Deathmatch,0.870185233
Alien Shooter,0.886109982
Masquerada: Songs and Shadows,0.919191919
Stranded,0.230563719
Half-Life 2: Lost Coast,0.831653218
Alien Shooter: Revisited,0.612656094
Midas Gold Plus,0.866675675
Manga maker ComiPo!,0.736525429
Alien Shooter 2: Reloaded,0.91258963
Half-Life Deathmatch: Source,0.710578899
This Strange Realm Of Mine,0.807518797
RutonyChat,0.740890688
Half-Life 2: Episode One,0.931098964
Yooka-Laylee,0.724607643
Lumini,0.854809437
The Bureau: XCOM Declassified,0.657557918
Portal,0.977068672
Capcom Beat 'Em Up Bundle,0.843101203
Half-Life 2: Episode Two,0.946467072
Project 5: Sightseer,0.749019608
Fly Simulator,0.567719298
Orwell,0.905022431
Team Fortress 2,0.930505878
Sid Meier's Civilization: Beyond Earth,0.480625181
Assassin's Creed II,0.830680702
Halo Wars: Definitive Edition,0.85239725
BAJA: Edge of Control HD,0.768309663
Left 4 Dead,0.943678446
Little Racers STREET,0.809455302
Left 4 Dead 2,0.963675883
Into the Breach,0.915655829
